Date,Open,High,Low,Close,Volume,Adj Close
2016-01-28,17.51,17.80,17.00,17.66,147500,16.6308
2016-01-27,17.65,17.78,17.60,17.76,87900,16.725
2016-01-26,17.80,18.03,17.60,17.75,437200,16.7156
2016-01-25,18.07,18.43,18.00,18.00,79200,16.951
2016-01-22,18.10,18.28,17.80,18.00,229900,16.951
2016-01-21,18.50,18.50,17.62,18.06,101700,17.0075
2016-01-20,18.52,18.63,17.66,18.25,106900,17.1864
2016-01-19,19.65,19.90,18.70,18.80,55900,17.7044
2016-01-18,18.55,19.99,18.50,19.10,405000,17.9869
2016-01-15,18.50,18.70,17.73,18.53,117100,17.4501
2016-01-14,18.70,19.10,17.70,18.59,38300,17.5066
2016-01-13,18.06,18.70,17.70,18.70,63000,17.6102
2016-01-12,18.50,18.70,17.71,18.00,377300,16.951
2016-01-11,18.61,19.00,17.92,18.60,137200,17.516
2016-01-08,19.00,19.00,18.70,18.80,28500,17.7044
2016-01-07,19.03,19.03,18.70,18.90,64200,17.7985
2016-01-06,19.25,20.40,19.25,19.45,66300,18.3165
2016-01-05,19.25,19.60,19.25,19.60,13800,18.4577
2016-01-04,19.00,19.98,19.00,19.57,36400,18.4295
2016-01-01,19.63,19.63,19.63,19.63,000,18.486
2015-12-31,19.30,20.00,19.30,19.63,69000,18.486
2015-12-30,19.01,21.00,19.01,19.60,129400,18.4577
2015-12-29,18.90,19.51,18.89,19.33,493600,18.2035
2015-12-28,19.00,19.50,18.72,19.19,232500,18.0716
2015-12-25,19.00,19.00,19.00,19.00,000,17.8927
2015-12-24,18.90,19.00,18.90,19.00,103000,17.8927
2015-12-23,19.27,19.30,18.89,19.10,227900,17.9869
2015-12-22,19.00,19.29,18.95,19.00,125700,17.8927
2015-12-21,19.00,19.49,18.50,18.50,98000,17.4218
2015-12-18,19.06,19.73,19.00,19.15,148200,18.034
2015-12-17,19.82,20.36,19.24,19.90,288200,18.7403
2015-12-16,19.50,19.50,19.50,19.50,000,18.3636
2015-12-15,19.00,19.72,18.99,19.50,356400,18.3636
2015-12-14,18.95,19.65,18.60,19.00,419700,17.8927
2015-12-11,19.70,19.76,19.16,19.30,221500,18.1752
2015-12-10,19.80,20.00,19.01,19.90,98400,18.7403
2015-12-09,20.05,21.00,20.05,20.30,280700,19.1169
2015-12-08,20.20,20.23,19.30,20.20,133500,19.0228
2015-12-07,20.78,20.78,19.26,20.24,529900,19.0604
2015-12-04,20.35,20.80,20.10,20.30,367700,19.1169
2015-12-03,20.54,21.53,20.54,20.80,681000,19.5878
2015-12-02,21.61,21.61,20.87,21.60,524100,20.3412
2015-12-01,21.92,21.92,21.12,21.60,150400,20.3412
2015-11-30,22.20,22.35,21.60,21.79,311900,20.5201
2015-11-27,22.23,23.00,22.20,22.20,110700,20.3412
2015-11-26,22.70,22.80,22.50,22.66,156100,20.7627
2015-11-25,22.75,22.93,22.70,22.75,212700,20.8451
2015-11-24,22.60,23.05,22.60,23.05,301700,21.12
2015-11-23,23.00,23.00,22.50,22.56,105600,20.671
2015-11-20,23.05,23.05,22.69,23.00,229500,21.0742
2015-11-19,22.50,23.42,22.50,23.10,52500,21.1658
2015-11-18,22.50,22.66,22.37,22.51,546700,20.6252
2015-11-17,23.12,23.30,22.75,22.78,222200,20.8726
2015-11-16,23.99,23.99,23.40,23.50,68200,21.5323
2015-11-13,23.47,24.10,22.88,24.10,119800,22.0821
2015-11-12,23.80,24.20,23.40,23.55,508900,21.5781
2015-11-11,24.35,24.49,24.10,24.20,266700,22.1737
2015-11-10,24.12,24.73,24.10,24.33,184500,22.2928
2015-11-09,24.60,24.60,24.11,24.44,169700,22.3936
2015-11-06,24.60,25.00,24.50,24.75,191600,22.6777
2015-11-05,25.31,25.40,24.85,25.00,1553400,22.9067
2015-11-04,25.24,25.49,25.24,25.40,91200,23.2732
2015-11-03,25.35,25.70,25.35,25.50,294600,23.3649
2015-11-02,25.15,26.38,25.01,25.50,114600,23.3649
2015-10-30,24.51,25.34,24.51,25.17,99400,23.0625
2015-10-29,24.59,24.99,24.51,24.70,201500,22.6318
2015-10-28,25.11,25.35,24.73,25.00,264000,22.9067
2015-10-27,26.20,26.28,24.67,25.19,37000,23.0808
2015-10-26,25.25,26.40,24.58,25.50,145200,23.3649
2015-10-23,25.75,25.82,25.27,25.30,23100,23.1816
2015-10-22,26.40,26.75,24.59,25.10,151700,22.9984
2015-10-21,25.79,26.91,25.69,26.40,87700,24.1895
2015-10-20,25.97,26.90,25.42,26.51,219600,24.2903
2015-10-19,26.50,26.77,25.29,25.90,293200,23.7314
2015-10-16,27.25,27.50,26.51,27.30,684100,25.0141
2015-10-15,26.76,27.37,26.76,27.02,180700,24.7576
2015-10-14,27.99,27.99,27.19,27.19,183400,24.9134
2015-10-13,28.26,28.26,26.69,27.50,336700,25.1974
2015-10-12,28.35,28.35,27.29,27.50,528500,25.1974
2015-10-09,28.50,29.00,28.20,28.40,195700,26.022
2015-10-08,28.97,29.00,27.99,28.40,95000,26.022
2015-10-07,29.09,30.00,28.16,28.90,949900,26.4802
2015-10-06,28.15,29.50,28.15,29.00,316900,26.5718
2015-10-05,28.62,29.99,28.09,28.22,70100,25.8571
2015-10-02,28.89,28.89,27.50,27.98,512200,25.6372
2015-10-01,28.00,28.50,27.80,27.92,305200,25.5822
2015-09-30,28.88,29.00,28.00,28.07,146000,25.7197
2015-09-29,28.70,28.71,28.00,28.00,77200,25.6555
2015-09-28,28.60,30.00,28.05,28.29,36600,25.9213
2015-09-25,28.95,28.97,28.00,28.00,39500,25.6555
2015-09-23,28.27,29.00,27.92,28.00,76400,25.6555
2015-09-22,28.30,29.00,28.12,29.00,227400,26.5718
2015-09-21,28.94,29.00,27.90,28.30,293600,25.9304
2015-09-18,28.30,28.30,28.10,28.19,56200,25.8296
2015-09-17,28.30,28.58,27.81,28.20,264800,25.8388
2015-09-16,28.80,28.80,28.00,28.30,126900,25.9304
2015-09-15,28.47,29.00,27.90,28.01,293600,25.6647
2015-09-14,28.35,28.50,27.85,27.93,298400,25.5914
2015-09-11,27.60,28.40,27.60,27.96,98200,25.6189
2015-09-10,28.50,28.94,28.00,28.50,133700,26.1137
2015-09-09,29.08,29.20,28.02,28.50,394200,26.1137
2015-09-08,27.73,29.40,27.00,29.00,199000,26.5718
2015-09-07,30.00,31.00,28.50,29.39,41100,26.9292
2015-09-04,29.07,30.00,28.00,29.90,75000,27.3964
2015-09-03,29.31,29.57,28.91,29.20,46100,26.7551
2015-09-02,29.62,29.99,29.06,29.26,223100,26.81
2015-09-01,29.93,30.00,29.20,29.37,73200,26.9108
2015-08-31,29.34,29.60,29.10,29.10,67700,26.6634
2015-08-28,30.00,30.99,29.45,29.60,272000,26.3153
2015-08-27,29.96,30.70,29.00,29.95,35400,26.6264
2015-08-26,29.00,31.20,29.00,29.70,57200,26.4042
2015-08-25,28.20,31.25,28.07,30.30,347400,26.9376
2015-08-24,28.56,31.25,27.62,29.10,232200,25.8707
2015-08-21,29.24,31.73,28.79,29.00,210000,25.7818
2015-08-20,29.62,31.00,28.11,29.50,208800,26.2263
2015-08-19,30.50,31.08,29.22,29.60,61400,26.3153
2015-08-18,30.20,31.25,29.11,29.66,244200,26.3686
2015-08-17,30.00,31.24,29.76,30.00,242100,26.6709
2015-08-14,30.82,30.82,29.50,30.00,156300,26.6709
2015-08-13,30.90,31.20,29.32,29.95,315300,26.6264
2015-08-12,31.55,31.60,30.94,31.00,210800,27.5599
2015-08-11,31.29,31.90,30.97,31.15,426900,27.6932
2015-08-10,31.00,31.00,31.00,31.00,000,27.5599
2015-08-07,31.87,33.40,30.85,31.00,362600,27.5599
2015-08-06,32.15,32.49,31.24,31.49,172500,27.9955
2015-08-05,32.41,32.49,31.30,31.99,63700,28.44
2015-08-04,31.85,33.30,31.80,31.80,26000,28.2711
2015-08-03,32.50,33.20,31.61,31.73,229400,28.2089
2015-07-31,32.50,33.24,31.99,31.99,165500,28.44
2015-07-30,32.49,32.50,32.00,32.25,206000,28.6712
2015-07-29,32.00,33.44,31.80,32.00,244000,28.4489
2015-07-28,31.85,33.45,31.71,31.95,80500,28.4045
2015-07-27,32.46,32.94,31.63,31.98,156500,28.4311
2015-07-24,32.90,33.00,31.61,32.00,326500,28.4489
2015-07-23,32.91,32.91,31.70,31.91,72200,28.3689
2015-07-22,33.20,33.20,31.55,31.55,15900,28.0489
2015-07-21,33.20,33.20,31.30,31.84,216700,28.3067
2015-07-20,32.26,32.46,31.30,31.78,57000,28.2533
2015-07-17,32.70,33.49,31.99,32.28,200800,28.6978
2015-07-16,33.50,33.50,32.10,32.70,106100,29.0712
2015-07-15,32.00,33.60,31.52,33.00,93200,29.3379
2015-07-14,32.80,32.99,31.65,31.90,198300,28.36
2015-07-13,34.02,34.25,31.16,31.50,649800,28.0044
2015-07-10,35.46,35.47,33.86,34.60,78800,30.7604
2015-07-09,35.55,35.88,35.05,35.26,81200,31.3472
2015-07-08,35.94,35.94,35.37,35.55,180000,31.605
2015-07-07,34.20,36.99,34.12,35.50,146400,31.5605
2015-07-06,34.00,35.50,33.89,35.20,54900,31.2938
2015-07-03,34.16,35.10,34.15,34.74,106000,30.8849
2015-07-02,33.80,34.50,33.80,34.15,284500,30.3603
2015-07-01,34.00,34.00,32.54,33.60,175300,29.8714
2015-06-30,33.40,33.90,32.46,32.50,190300,28.8934
2015-06-29,32.16,33.00,31.94,32.50,440600,28.8934
2015-06-26,31.94,32.30,31.94,32.21,75500,28.6356
2015-06-25,32.40,32.67,32.00,32.01,137100,28.4578
2015-06-24,33.05,33.06,32.42,32.60,102200,28.9823
2015-06-23,34.40,34.40,33.05,33.05,177700,29.3824
2015-06-22,34.32,34.46,34.00,34.20,101300,30.4048
2015-06-19,35.50,36.90,33.98,34.49,171300,30.6626
2015-06-18,33.50,35.52,33.39,34.50,277200,30.6715
2015-06-17,33.20,33.98,32.40,33.50,88300,29.7825
2015-06-16,33.30,33.30,33.30,33.30,000,29.6047
2015-06-15,32.70,34.00,32.70,33.30,142500,29.6047
2015-06-12,32.60,33.20,32.46,32.70,115600,29.0712
2015-06-11,32.40,32.60,32.33,32.60,59400,28.9823
2015-06-10,32.10,32.40,32.10,32.25,494100,28.6712
2015-06-09,32.56,32.56,32.03,32.25,423200,28.6712
2015-06-08,32.87,32.87,32.60,32.69,582500,29.0623
2015-06-05,32.99,33.00,32.79,32.90,170100,29.249
2015-06-04,32.80,33.14,32.65,33.00,523800,29.3379
2015-06-03,32.75,33.30,32.65,32.80,192300,29.1601
2015-06-02,32.78,32.85,32.60,32.65,140800,29.0268
2015-06-01,32.43,32.84,32.30,32.75,101000,29.1157
2015-05-29,32.17,32.73,31.99,32.30,334100,28.7156
2015-05-28,32.24,33.00,31.90,32.17,371200,28.6001
2015-05-27,31.60,32.25,31.60,32.00,161300,28.4489
2015-05-26,31.85,31.95,30.61,31.55,238500,28.0489
2015-05-25,33.00,33.00,31.70,31.91,164900,28.3689
2015-05-22,32.95,32.95,32.55,32.72,65000,29.089
2015-05-21,32.00,32.98,32.00,32.83,97500,29.1868
2015-05-20,30.70,32.00,30.70,31.75,124200,28.2267
2015-05-19,30.25,31.25,30.00,31.25,31000,27.7821
2015-05-18,31.21,31.48,30.70,30.70,350400,27.2932
2015-05-15,31.13,31.44,31.01,31.44,26500,27.9511
2015-05-14,31.01,31.44,30.58,31.13,41600,27.6755
2015-05-13,30.00,31.49,30.00,31.00,107600,27.5599
2015-05-12,31.46,31.48,30.50,30.91,43400,27.4799
2015-05-11,30.75,30.85,30.69,30.70,155600,27.2932
2015-05-08,31.25,31.25,30.78,31.00,51500,27.5599
2015-05-07,30.84,31.48,30.50,30.90,74300,27.471
2015-05-06,30.75,30.90,30.52,30.70,47800,27.2932
2015-05-05,30.83,31.09,30.76,31.00,11300,27.5599
2015-05-04,31.33,31.33,30.99,31.00,166000,27.5599
2015-05-01,31.18,31.18,31.18,31.18,000,27.7199
2015-04-30,31.36,31.48,31.18,31.18,26900,27.7199
2015-04-29,31.15,31.49,31.05,31.05,51100,27.6043
2015-04-28,31.35,31.49,31.05,31.31,36600,27.8355
2015-04-27,31.05,31.05,31.05,31.05,000,27.6043
2015-04-24,31.06,31.09,30.99,31.05,284100,27.6043
2015-04-23,31.24,31.45,31.05,31.05,11100,27.6043
2015-04-22,31.16,31.23,31.15,31.23,9600,27.7644
2015-04-21,31.20,31.43,31.04,31.19,135700,27.7288
2015-04-20,31.30,31.30,31.00,31.20,270300,27.7377
2015-04-17,31.21,31.40,31.20,31.20,76900,27.7377
2015-04-16,31.50,31.50,31.19,31.20,54600,27.7377
2015-04-15,31.47,31.51,31.28,31.50,57200,28.0044
2015-04-14,31.30,31.50,31.30,31.40,9300,27.9155
2015-04-13,31.30,31.50,31.29,31.50,108100,28.0044
2015-04-10,31.49,31.50,31.30,31.30,129600,27.8266
2015-04-09,31.49,32.40,31.31,31.50,54300,28.0044
2015-04-08,31.30,32.50,31.29,31.34,166400,27.8622
2015-04-07,32.00,32.00,31.30,31.30,108500,27.8266
